index,group,calories,lipids,carbohydrates,protein,name
1,3,357,89.25,0,0,ALGODON DE AZUCAR
2,3,341,85.13,0,0,"ALMIBAR DE FRUTAS, INDUSTRIALIZADO"
3,3,125.1,23.36,1.89,3.43,"ARROZ CON LECHE, PREPARACION ESTANDARIZADA"
4,3,0,0,0,0,AZUCAR Y ESTEVIA (SPLENDA NATURALS)
5,3,380,98.09,0,0.12,"AZUCAR, MASCABADO"
9,3,470.55,50.05,27.49,6.77,"BOCADILLOS DE GARBANZO DULCE, PREPARACION ESTANDARIZADA"
10,3,212.98,38.74,4.26,6.11,"BODOQUE DULCE, PREPARACION ESTANDARIZADA"
11,3,318,81.3,0.2,1.8,BOMBON
12,3,412.62,81.82,7.71,6.56,CAJETA
13,3,105.28,26.33,0.04,0.34,"CALABAZA EN DULCE, PREPARACION ESTANDARIZADA"
14,3,98.37,24.4,0.02,0.7,"CAMOTE CON AZUCAR, PREPARACION ESTANDARIZADA"
15,3,223.04,34.42,8.37,3.13,"CAPIROTADA, PREPARACION ESTANDARIZADA"
16,3,100,20,0,0,CHAMOY
17,3,160,40,0,0,CHILE CON AZUCAR (TIPO MIGUELITO)
18,3,371.5,86.2,2,3.15,"CHOCOLATE EN POLVO ENRIQUECIDO (NESQUIK, CALCTOSE)"
19,3,385,79.1,5.8,4,CHOCOLATE EN POLVO SIN ENRIQUECER (ABUELITA EN POLVO)
20,3,268.59,61.11,1.32,3.08,CHOCOLATE LíQUIDO (ESTILO HERSHEYS)
21,3,598,45.9,42.63,7.79,"CHOCOLATE, AMARGO"
22,3,539,59.24,32.09,5.87,"CHOCOLATE, BLANCO"
23,3,539,59.24,32.09,5.87,"CHOCOLATE, BLANCO"
24,3,427.17,80.64,10.11,3.7,"CHOCOLATE CON AZUCAR (ABUELITA, IBARRA, ETC)"
25,3,515.83,54.56,29.4,7.68,"CHOCOLATE, CON LECHE (CARLOS V, VAQUITA, ETC)"
26,3,480,76,16,4,"CHOCOLATE CON MENTA (CUBIERTA O RELLENO, TIPO CHOCORETAS)"
27,3,531.59,50.83,36.28,9.7,"CHOCOLATE, RELLENO DE ALMENDRA, AVELLANA O CACAHUATE (TIPO FERRERO)"
28,3,472.08,64.3,20.72,7.1,"CHOCOLATE, RELLENO DE CARAMELO Y NUEZ (SNICKERS, MILKY WAY)"
29,3,546,61.17,31.28,4.88,"CHOCOLATE, SEMI AMARGO"
30,3,517.13,45.63,36.33,6.42,"CHOCOLATE, SIN AZUCAR, EN POLVO O MACIZO"
